json,filename,region_id,reason
stucco/train/stucco_train.json,Pintura_0.9.jpg,10,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,74,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,92,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,100,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,151,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,163,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,177,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,178,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,179,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,180,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,181,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,182,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,183,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,184,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,185,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,186,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,187,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,188,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,189,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,190,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,191,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,192,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,193,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,194,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,195,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,196,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,197,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,198,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,199,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,200,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,201,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,202,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,203,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,204,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,205,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,206,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,207,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,208,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,209,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,210,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,211,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,212,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,213,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,214,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,223,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,224,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,225,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,226,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,227,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,228,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,229,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,230,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,231,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,232,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,233,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,234,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,235,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,236,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,237,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,238,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,239,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,240,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,241,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,242,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,243,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,244,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,245,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,246,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,247,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,248,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,249,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,250,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,255,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,256,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,257,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,258,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,259,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,260,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,261,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,262,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,263,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,264,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,265,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,266,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,267,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,268,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,269,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,270,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,271,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,272,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,273,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,274,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,275,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,276,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,277,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,278,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,279,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,280,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,281,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,282,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,283,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,284,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,285,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,286,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,287,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,288,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,289,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,290,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,291,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,292,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,293,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,294,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,295,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,296,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,297,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,298,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,299,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,300,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,301,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,309,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,310,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,311,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,312,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,313,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,314,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,315,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,316,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,317,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,318,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,319,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,320,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,321,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,322,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,323,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,324,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,325,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,326,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,327,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,328,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,329,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,330,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,331,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,332,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,333,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,334,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,335,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,336,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,337,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,338,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,339,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,340,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,341,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,342,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,343,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,344,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,345,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,346,too_few_points
stucco/train/stucco_train.json,Pintura_0.9.jpg,347,too_few_points
